LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,OtherEquip_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,OtherEquipmentPurpose,Comments_Equipment,Comments,Comments_Miscellaneous
xF9017G,Bemidji,scf,soil CO2 efflux collar,,,342764.17,5271031.92,1.0,-23.13,430.22,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF9101G,Bemidji,scf,soil CO2 efflux collar,,,342826.3,5271052.65,1.0,42.07,432.68,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF9103G,Bemidji,scf,soil CO2 efflux collar,,,342815.09,5271047.57,1.0,29.76,432.84,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF93,Bemidji,scf,soil CO2 efflux collar,,,342757.97,5271022.06,1.0,-32.8,431.26,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xG100,Bemidji,scf,soil CO2 efflux collar,,,342748.84,5271026.26,1.0,-39.44,430.73,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xG107,Bemidji,scf,soil CO2 efflux collar,,,342746.36,5271033.17,,,430.08,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xG114,Bemidji,scf,soil CO2 efflux collar,,,342744.17,5271039.33,,,430.02,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xG121,Bemidji,scf,soil CO2 efflux collar,,,342742.21,5271046.24,,,430.01,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xG128,Bemidji,scf,soil CO2 efflux collar,,,342739.27,5271053.04,,,430.31,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xG79,Bemidji,scf,soil CO2 efflux collar,,,342755.72,5271006.71,,,432.17,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xG86,Bemidji,scf,soil CO2 efflux collar,,,342753.29,5271013.42,,,432.02,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xG93,Bemidji,scf,soil CO2 efflux collar,,,342751.42,5271020.02,1.0,-39.61,431.32,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xH100,Bemidji,scf,soil CO2 efflux collar,,,342741.85,5271024.16,1.0,-46.68,430.9,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xH107,Bemidji,scf,soil CO2 efflux collar,,,342740.0,5271030.8,,,430.14,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xH114,Bemidji,scf,soil CO2 efflux collar,,,342737.36,5271037.11,,,429.98,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xH121,Bemidji,scf,soil CO2 efflux collar,,,342734.8,5271043.48,,,429.99,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xH128,Bemidji,scf,soil CO2 efflux collar,,,342732.86,5271050.31,,,430.2,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xH79,Bemidji,scf,soil CO2 efflux collar,,,342750.93,5271000.39,,,432.02,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xH86,Bemidji,scf,soil CO2 efflux collar,,,342746.97,5271011.3,,,431.84,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xH93,Bemidji,scf,soil CO2 efflux collar,,,342744.99,5271017.23,1.0,-46.62,431.53,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xI100,Bemidji,scf,soil CO2 efflux collar,,,342735.95,5271022.23,1.0,-52.86,430.62,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xI107,Bemidji,scf,soil CO2 efflux collar,,,342733.1,5271028.92,,,430.34,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xI114,Bemidji,scf,soil CO2 efflux collar,,,342730.93,5271034.96,,,430.13,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xI121,Bemidji,scf,soil CO2 efflux collar,,,342728.12,5271041.52,,,430.12,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xI128,Bemidji,scf,soil CO2 efflux collar,,,342725.38,5271047.84,,,430.34,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xI79,Bemidji,scf,soil CO2 efflux collar,,,342741.89,5271001.74,,,431.29,0.0,20130711,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface","added in 2013 by J. Trost, may not have been measured in 2012",
xI86,Bemidji,scf,soil CO2 efflux collar,,,342739.51,5271008.53,,,431.35,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xI93,Bemidji,scf,soil CO2 efflux collar,,,342737.67,5271014.96,1.0,-54.23,431.09,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xISM-CH4-98,Bemidji,mc,microcosm,,,342771.61,5271037.87,1.0,-13.92,,,19980825,,USGS MN Water Science Center,B. Gunderson; D. Rosemore; S. Fideldy,,,,
xISM-CH4-99,Bemidji,mc,microcosm,,,342832.78,5271054.05,1.0,48.56,,,19990713,B   9/3/99,USGS MN Water Science Center,W. Larson; D. Rosemore,,,,
xISM-Fe-red,Bemidji,mc,microcosm,,,342846.47,5271064.19,1.0,65.18,,,19980824,,USGS MN Water Science Center,B. Gunderson; D. Rosemore; S. Fideldy,,,,
xJ100,Bemidji,scf,soil CO2 efflux collar,,,342729.02,5271019.4,1.0,-60.34,430.6,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xJ107,Bemidji,scf,soil CO2 efflux collar,,,342726.63,5271026.48,,,430.38,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xJ114,Bemidji,scf,soil CO2 efflux collar,,,342724.12,5271032.9,,,430.27,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xJ121,Bemidji,scf,soil CO2 efflux collar,,,342722.45,5271039.09,,,430.25,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xJ79,Bemidji,scf,soil CO2 efflux collar,,,342734.91,5270999.6,,,430.954,0.0,20130711,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface","added in 2013 by J. Trost, may not have been measured in 2012",
xJ86,Bemidji,scf,soil CO2 efflux collar,,,342732.93,5271006.2,,,431.01,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xJ93,Bemidji,scf,soil CO2 efflux collar,,,342731.24,5271012.73,1.0,-61.01,430.79,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xK100,Bemidji,scf,soil CO2 efflux collar,,,342722.59,5271017.38,1.0,-67.04,430.67,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xK107,Bemidji,scf,soil CO2 efflux collar,,,342720.0,5271024.18,,,430.42,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xK114,Bemidji,scf,soil CO2 efflux collar,,,342717.75,5271030.74,,,430.34,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xK79,Bemidji,scf,soil CO2 efflux collar,,,342728.29,5270997.55,,,430.672,0.0,20130711,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface","added in 2013 by J. Trost, may not have been measured in 2012",
xK86,Bemidji,scf,soil CO2 efflux collar,,,342726.25,5271004.43,,,430.85,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xK93,Bemidji,scf,soil CO2 efflux collar,,,342724.35,5271010.34,1.0,-68.28,430.71,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xL303-1.4,Bemidji,sl,suction lysimeter soil-water sampler,x473426095052701,L303-1.4  147N35W02CDBD  01,342765.15,5271047.86,,,430.335,0.0,20040823.0,,USGS MN Water Science Center,W. Larson; L. Steuwe,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,North pool transect
xL303-3.0,Bemidji,sl,suction lysimeter soil-water sampler,x473426095052611,L303-3.0  147N35W02CDAC  01,342767.5,5271046.78,,,430.344,0.0,20040823.0,,USGS MN Water Science Center,W. Larson; L. Steuwe,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,North pool transect
xL303-4.4,Bemidji,sl,suction lysimeter soil-water sampler,x473426095052612,L303-4.4  147N35W02CDBD  01,342766.38,5271047.38,,,430.35,0.0,20040823.0,,USGS MN Water Science Center,W. Larson; L. Steuwe,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,North pool transect
xL310,Bemidji,sl,suction lysimeter soil-water sampler,x473423095053402,L310      147N35W02CDCB  01,342604.52,5270956.03,1.0,-199.84,433.612,0.0,20030723.0,,USGS MN Water Science Center,W. Larson; L. Steuwe,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,Near well 310
xL9014-1.5,Bemidji,sl,suction lysimeter soil-water sampler,x473426095052509,L9014-1.5 147N35W02CDAC  01,342794.83,5271049.55,1.0,12.04,430.335,0.0,20030723.0,,USGS MN Water Science Center,W. Larson; L. Steuwe,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,North pool transect
xL9014-3.0,Bemidji,sl,suction lysimeter soil-water sampler,x473426095052510,L9014-3.0 147N35W02CDAC  01,342794.05,5271050.17,1.0,11.58,430.344,0.0,20030723.0,,USGS MN Water Science Center,W. Larson; L. Steuwe,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,North pool transect
xL9014-4.5,Bemidji,sl,suction lysimeter soil-water sampler,x473426095052511,L9014-4.5 147N35W02CDAC  01,342793.3,5271051.13,1.0,11.28,430.35,0.0,20030723.0,,USGS MN Water Science Center,W. Larson; L. Steuwe,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,North pool transect
xL9017-1.3,Bemidji,sl,suction lysimeter soil-water sampler,x473425095052677,L9017-1.3 147N35W02CDBD  01,342760.39,5271035.11,1.0,-25.3,430.055,0.0,20120607.0,,USGS MN Water Science Center,G. Delin; B. Bekins,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,Located near well 9620
xL9017-2.5,Bemidji,sl,suction lysimeter soil-water sampler,x473425095052687,L9017-2.5 147N35W02CDBD  01,342758.38,5271037.77,1.0,-26.06,430.109,0.0,20120607.0,,USGS MN Water Science Center,G. Delin; B. Bekins,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,Located near well 9620
xL9017-3.7,Bemidji,sl,suction lysimeter soil-water sampler,x473425095052682,L9017-3.7 147N35W02CDBD  01,342759.47,5271036.87,1.0,-25.42,430.055,0.0,20120607.0,,USGS MN Water Science Center,G. Delin; B. Bekins,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,Located near well 9620
xLake,Bemidji,l,lake water-level observation,,,,,,,,,,Installation date unknown,USGS MN Water Science Center,Not applicable,,,,Unnamed lake
xLG,Bemidji,s,staff gage for surface-water level measurements,x473409095045501,"UNNAMED LAKE, S. SIDE, SE OF PINEWOOD, MN",343401.07,5270506.17,,,423.367,,20110512.0,Installation date unknown,USGS MN Water Science Center,Not applicable,,,,Unnamed lake
xLT-1.5N,Bemidji,sl,suction lysimeter soil-water sampler,x473425095052507,LT-1.5N   147N35W02CDDB  01,342792.56,5271032.51,,,430.582,0.0,20011001.0,,USGS MN Water Science Center,W. Larson; D. Rosemore,,,,UZ Tracer test site
xLT-1.5S,Bemidji,sl,suction lysimeter soil-water sampler,x473425095052510,LT-1.5S   147N35W02CDDB  01,342793.2,5271026.37,,,430.725,0.0,20011001.0,,USGS MN Water Science Center,W. Larson; D. Rosemore,,,,UZ Tracer test site
xLT-3.0N,Bemidji,sl,suction lysimeter soil-water sampler,x473425095052508,LT-3.0N   147N35W02CDDB  01,342792.97,5271031.8,,,430.585,0.0,20011001.0,,USGS MN Water Science Center,W. Larson; D. Rosemore,,,,UZ Tracer test site
xLT-3.0S,Bemidji,sl,suction lysimeter soil-water sampler,x473425095052511,LT-3.0S   147N35W02CDDB  01,342793.43,5271024.37,,,430.783,0.0,20011001.0,,USGS MN Water Science Center,W. Larson; D. Rosemore,,,,UZ Tracer test site
xLT-4.5N,Bemidji,sl,suction lysimeter soil-water sampler,x473425095052509,LT-4.5N   147N35W02CDDB  01,342793.04,5271030.95,,,430.591,0.0,20011001.0,,USGS MN Water Science Center,W. Larson; D. Rosemore,,,,UZ Tracer test site
xLT-4.5S,Bemidji,sl,suction lysimeter soil-water sampler,x473425095052512,LT-4.5S   147N35W02CDDB  01,342793.63,5271025.34,,,430.749,0.0,20011001.0,,USGS MN Water Science Center,W. Larson; D. Rosemore,,,,UZ Tracer test site
xmonique,Bemidji,b,survey reference benchmark,,,342989.66,5271144.04,1.0,228.45,433.737,0.0,,Installation date unknown,USGS MN Water Science Center,Not applicable,,,,
xN100,Bemidji,scf,soil CO2 efflux collar,,,342784.43,5271050.76,1.0,3.02,431.96,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xO100,Bemidji,scf,soil CO2 efflux collar,,,342790.72,5271053.4,1.0,9.84,431.97,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xO121,Bemidji,scf,soil CO2 efflux collar,,,342782.72,5271073.6,,,432.15,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xOLD POST,Bemidji,unk,unknown installation,,,342807.7,5271051.02,1.0,24.4,432.82,0.0,,Installation date unknown,USGS MN Water Science Center,Unknown,unknown,Unknown abandoned well,,Located near geophysics well C1006
xP100,Bemidji,scf,soil CO2 efflux collar,,,342797.2,5271056.12,1.0,16.87,432.12,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xP107,Bemidji,scf,soil CO2 efflux collar,,,342794.6,5271062.37,,,432.14,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xP114,Bemidji,scf,soil CO2 efflux collar,,,342792.13,5271069.17,,,432.29,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xP121,Bemidji,scf,soil CO2 efflux collar,,,342789.66,5271075.38,,,432.33,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xPower box 1,Bemidji,ipb,infrastructure-electrical power supply box,,,342901.92,5271094.34,1.0,128.09,433.114,0.0,,Installation date unknown,Beltrami Electric,Not applicable,,,,
xPower box 2,Bemidji,ipb,infrastructure-electrical power supply box,,,342816.98,5271053.42,1.0,33.86,432.967,0.0,,Installation date unknown,Beltrami Electric,Not applicable,,,,
xPower box 3,Bemidji,ipb,infrastructure-electrical power supply box,,,342766.52,5271033.79,1.0,-20.23,430.145,0.0,,Installation date unknown,Beltrami Electric,Not applicable,,,,
xPower box 4,Bemidji,ipb,infrastructure-electrical power supply box,,,342803.6,5271056.83,1.0,23.01,432.585,0.0,,Installation date unknown,Beltrami Electric,Not applicable,,,,
xPower box 5,Bemidji,ipb,infrastructure-electrical power supply box,,,342830.93,5271078.34,,,433.283,0.0,,Installation date unknown,Beltrami Electric,Not applicable,,,,
xPower box 6,Bemidji,ipb,infrastructure-electrical power supply box,,,342766.01,5271014.02,,,431.959,0.0,,Installation date unknown,Beltrami Electric,Not applicable,,,,
xPower box 6 meter,Bemidji,ipb,infrastructure-electrical power supply box,,,342767.29,5271012.54,,,432.008,0.0,,Installation date unknown,Beltrami Electric,Not applicable,,,,
xPower box 7,Bemidji,ipb,infrastructure-electrical power supply box,,,342852.97,5270933.28,,,427.886,0.0,,Installation date unknown,Beltrami Electric,Not applicable,,,,
xPump test shelter,Bemidji,unk,unknown installation,,,342783.02,5271044.44,1.0,-0.83,430.667,0.0,,Installation date unknown,Enbridge Energy,Not applicable,,,,
xQ100,Bemidji,scf,soil CO2 efflux collar,,,342803.26,5271058.5,1.0,23.37,432.42,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xQ107,Bemidji,scf,soil CO2 efflux collar,,,342800.34,5271064.54,,,432.24,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xQ114,Bemidji,scf,soil CO2 efflux collar,,,342798.84,5271071.32,,,432.36,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xR100,Bemidji,scf,soil CO2 efflux collar,,,342809.8,5271060.77,1.0,30.27,432.76,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xR114,Bemidji,scf,soil CO2 efflux collar,,,342803.27,5271072.84,,,432.62,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xR79,Bemidji,scf,soil CO2 efflux collar,,,342824.11,5271043.65,,,432.46,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xR86,Bemidji,scf,soil CO2 efflux collar,,,342816.58,5271048.72,1.0,31.59,432.89,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xR93,Bemidji,scf,soil CO2 efflux collar,,,342812.61,5271053.7,1.0,29.98,433.01,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xS100,Bemidji,scf,soil CO2 efflux collar,,,342816.01,5271063.25,1.0,36.95,432.94,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xS107,Bemidji,scf,soil CO2 efflux collar,,,342813.93,5271069.76,,,432.81,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",mis-labeled as S114 until 2013 field session.  J. Trost changed name to S107 on 7/24/13,mis-labeled as S114 until 2013 field session.  J. Trost changed name to S107 on 7/24/13
xS114,Bemidji,scf,soil CO2 efflux collar,,,342811.34,5271075.39,,,432.77,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",mis-labeled as S107 until 2013 field session.  J. Trost changed name to S114 on 7/24/13,mis-labeled as S107 until 2013 field session.  J. Trost changed name to S114 on 7/24/13
xS86,Bemidji,scf,soil CO2 efflux collar,,,342821.31,5271050.25,1.0,36.53,432.79,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xS93,Bemidji,scf,soil CO2 efflux collar,,,342818.93,5271056.82,1.0,37.02,432.96,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xT100,Bemidji,scf,soil CO2 efflux collar,,,342823.02,5271065.71,1.0,44.36,433.1,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xT107,Bemidji,scf,soil CO2 efflux collar,,,342820.74,5271072.3,,,432.974,0.0,20130711,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface","added in 2013 by J. Trost, may not have been measured in 2012",
xT114,Bemidji,scf,soil CO2 efflux collar,,,342817.92,5271078.68,,,432.91,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xT72,Bemidji,scf,soil CO2 efflux collar,,,342828.62,5271042.7,,,432.57,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xT79,Bemidji,scf,soil CO2 efflux collar,,,342830.3,5271046.97,,,432.59,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xT86,Bemidji,scf,soil CO2 efflux collar,,,342828.79,5271052.3,1.0,44.2,432.72,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xTelephone box 1,Bemidji,itb,infrastructure-telephone junction box,,,342807.06,5271069.01,,,433.958,0.0,,Installation date unknown,Paul Bunyan Telephone,Not applicable,,,,
xTelephone box 2,Bemidji,itb,infrastructure-telephone junction box,,,342806.45,5271065.3,,,433.998,0.0,,Installation date unknown,Paul Bunyan Telephone,Not applicable,,,,
xTelephone box 3,Bemidji,itb,infrastructure-telephone junction box,,,342755.71,5271025.74,1.0,-33.37,430.811,0.0,,Installation date unknown,Paul Bunyan Telephone,Not applicable,,,,
xTelephone box 4,Bemidji,itb,infrastructure-telephone junction box,,,342854.41,5270935.91,,,428.121,0.0,,Installation date unknown,Paul Bunyan Telephone,Not applicable,,,,
xTelephone box 5,Bemidji,itb,infrastructure-telephone junction box,,,342673.99,5270986.77,1.0,-123.87,431.24,0.0,,Installation date unknown,Paul Bunyan Telephone,Not applicable,,,,
xTelephone box 6,Bemidji,itb,infrastructure-telephone junction box,,,342817.0,5271053.42,1.0,33.88,,0.0,,Installation date unknown,Paul Bunyan Telephone,Not applicable,,,,New phone box install in 2010
xTens 98-1,Bemidji,ts,tensiometer installed in the unsaturated zone,,,342790.04,5271035.72,1.0,-2.06,430.465,0.0,,Installation date unknown,USGS MN Water Science Center,Not applicable,,,,UZ Tracer test site
xTens 98-2,Bemidji,ts,tensiometer installed in the unsaturated zone,,,342790.76,5271034.88,,,430.466,0.0,,Installation date unknown,USGS MN Water Science Center,Not applicable,,,,UZ Tracer test site
xTens 98-4,Bemidji,ts,tensiometer installed in the unsaturated zone,,,342789.18,5271036.86,1.0,-1.73,430.435,0.0,,Installation date unknown,USGS MN Water Science Center,Not applicable,,,,UZ Tracer test site
xU100,Bemidji,scf,soil CO2 efflux collar,,,342830.0,5271068.04,1.0,51.69,433.12,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xU107,Bemidji,scf,soil CO2 efflux collar,,,342827.5,5271074.61,,,433.18,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xU79,Bemidji,scf,soil CO2 efflux collar,,,342837.66,5271048.15,,,432.71,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xU86,Bemidji,scf,soil CO2 efflux collar,,,342835.02,5271054.79,1.0,50.91,432.86,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
